ID,Nombre,Tipo,Categoría,Subcategoría,Objetivo,Nivel,Tipo escalador,Equipo,Descripción,Series,Reps,Tiempo,TUT,Descanso,Intensidad,Frecuencia,Progresión,Regresión,Errores comunes,Precauciones,Señales detener,Riesgo,Tags,Fuente primaria,Fuente secundaria,URL fuente,Estado,Publicable app,Validación profesional,Notas
FD-012,Campus board orientado a fuerza de dedos / potencia de agarre,Método,Fuerza de dedos,Semiespecífico dinámico / alta carga,Mejorar fuerza/potencia específica y RFD; transferencia a boulder,Avanzado / élite,Escaladores avanzados y élite; limitado en escaladores de bajo grado,Campus board,La revisión clasifica campus board como entrenamiento semiespecífico de alta similitud con escalada. Debe usarse con bajo volumen y alta calidad; no se recuperó un paso a paso completo en fuentes disponibles.,No especificado en la fuente,No especificado en la fuente,No especificado en la fuente,No especificado en la fuente,No especificado en la fuente,Alta / explosiva,"En estudios: 2 o 4 sesiones semanales se mencionan como comparación, pero el detalle completo requiere validar en fuente específica",Progresar por dificultad/volumen sólo con técnica perfecta,Regresar a fingerboard asistido o boulder menos dinámico,Usarlo siendo principiante; fatiga alta; movimientos explosivos sin base,"Riesgo alto por pliometría, dedos y alta carga. Requiere validación profesional","Dolor en dedos, codos, hombros; pérdida de contacto; fatiga que reduce coordinación",Alto,"campus board, RFD, potencia dedos, riesgo alto",Saeterbakken et al. 2024,FUERZA DE DEDOS,https://docs.google.com/document/d/1DHnfOXVF6a-t2YIuagB0EpX8IqULcHXf0SrvM0jYRIY/edit?usp=drivesdk,Incompleto,Sólo educativo / requiere fuente específica,Requiere validación profesional,Mantener como método general hasta importar CAMPUS BOARD
HB-001,Dead hang / suspension en regleta,Ejercicio,Hangboard / Fingerboard,Suspension isometrica,Fuerza de dedos,Intermedio / Avanzado,General,Hangboard / Fingerboard,"Colgarse de una regleta con brazos extendidos, agarre activo, core activo y sin balanceo. Mantener la posición hasta el tiempo indicado por el método.",No especificado en la fuente,No especificado en la fuente,Variable según método,No especificado en la fuente,No especificado en la fuente,Alta,No especificado en la fuente,"Añadir peso, reducir tamaño de regleta o aumentar duración","Usar regleta más grande, asistencia con pies/banda/polea",No especificado en la fuente,No recomendado si no se cumplen criterios mínimos; requiere técnica y control de carga,"Dolor en dedos, poleas, muñeca, codo, hombro; pérdida de forma",Alto,"fuerza de dedos, antebrazo, dedos, poleas",Eva Lopez-Rivera / HANGBOARD-FINGERBOARD,HANGBOARD/FINGERBOARD,https://docs.google.com/document/d/1c806-BohO6x0WL3IqQYWT\_K6Kh3vGlfvBetaqPiX4B0/edit?usp=drivesdk,Pendiente deduplicación,Sí con advertencia,Requiere validacion profesional,Duplicado probable de FD-001; mantener hasta consolidar
HB-002,MaxHangs con peso añadido,Protocolo / ejercicio,Hangboard / Fingerboard,Fuerza máxima,Desarrollar fuerza máxima de dedos mediante alta tensión mecánica,Avanzado,Deportiva / Boulder / General,"Hangboard, lastre","Usar una regleta fija, normalmente 18-20 mm al inicio según la guía; añadir peso para alcanzar la duración y margen antes del fallo indicados.",3-5,1 hang por serie,10 s en protocolo López; también 2-4 a 6-8 s en Michailov,No especificado en la fuente,3 min en López; 2-3 min en Michailov,Alta / Máxima,2 veces/semana en López 2019,Aumentar peso manteniendo margen antes del fallo,Quitar peso o usar asistencia,No llegar al fallo; usarlo sin experiencia; dolor o lesión,No llegar al fallo; no usar en principiantes; requiere experiencia,"Fallo técnico, dolor, flexión de brazos/cadera, pérdida de contacto",Alto,"fuerza máxima, dedos, regleta, lastre",Lopez-Rivera y Gonzalez-Badillo 2019 / Michailov,HANGBOARD/FINGERBOARD,https://docs.google.com/document/d/1c806-BohO6x0WL3IqQYWT\_K6Kh3vGlfvBetaqPiX4B0/edit?usp=drivesdk,Pendiente deduplicación,Sí con bloqueo por perfil,Requiere validacion profesional,Duplicado/variante de FD-002 y P-FD-003; aporta dosis concreta 3-5 x 10 s
HB-003,MaxHangs con profundidad mínima,Protocolo / ejercicio,Hangboard / Fingerboard,Fuerza máxima,Desarrollar fuerza máxima reduciendo el tamaño de regleta,Avanzado,Deportiva / Boulder / General,Hangboard,Elegir una profundidad que permita cumplir la duración objetivo con margen antes del fallo. Ajustar la profundidad en vez del peso.,3-5,1 hang por serie,10 s,No especificado en la fuente,3 min,Alta / Máxima,2 veces/semana en López 2019,Reducir profundidad de regleta,Aumentar profundidad de regleta,Usar regletas pequeñas sin control técnico,Regletas pequeñas elevan el riesgo; requiere control técnico,Dolor o pérdida de forma,Alto,"fuerza dedos, regletas pequeñas, MED",Lopez-Rivera y Gonzalez-Badillo 2019,HANGBOARD/FINGERBOARD,https://docs.google.com/document/d/1c806-BohO6x0WL3IqQYWT\_K6Kh3vGlfvBetaqPiX4B0/edit?usp=drivesdk,Pendiente deduplicación,Sí con bloqueo por perfil,Requiere validacion profesional,Duplicado/variante de FD-003; aporta dosis concreta
HB-004,Intermittent dead hangs / Repeaters / IntHangs,Protocolo,Hangboard / Fingerboard,Resistencia de fuerza,Mejorar resistencia local de flexores de dedos,Avanzado,Deportiva / Boulder / General,Hangboard,"Repetir ciclos de suspensión y pausa corta en una regleta que permita completar el set, buscando fallo o casi fallo al final del último set según López.",3-5,4-5 repeticiones por set,10 s por repetición en López; 7:3 y 8:4 aparecen en otras fuentes,No especificado en la fuente,5 s entre reps y 1 min entre sets en López; 5 min entre sets en Beastmaking; 8:4 en Medernach test,Alta,2 veces/semana en López; 3 sesiones/semana en Medernach,"Más reps, menor descanso, más peso o regleta menor","Regleta mayor, menos reps, más descanso",Fatiga deteriora forma; usar con dolor o lesión,Fatiga deteriora forma; no usar con dolor o lesión,"Dolor, pérdida de contacto, balanceo, chicken wing, fallo técnico",Alto,"repeaters, resistencia de fuerza, antebrazo",Lopez-Rivera 2019; Medernach,HANGBOARD/FINGERBOARD,https://docs.google.com/document/d/1c806-BohO6x0WL3IqQYWT\_K6Kh3vGlfvBetaqPiX4B0/edit?usp=drivesdk,Pendiente deduplicación,Sí con bloqueo por perfil,Requiere validacion profesional,"Duplicado/variante de FD-004, FD-005, P-FD-004 y P-FD-005"
HB-005,SubHangs,Método,Hangboard / Fingerboard,Resistencia / hipertrofia local,Mejorar resistencia muscular local y posible estímulo hipertrófico,Intermedio / Avanzado,General,Hangboard,Método submáximo de suspensiones; la fuente lo agrupa con IntHangs como método de resistencia con intensidad aprox. 70-80%.,No especificado en la fuente,No especificado en la fuente,No especificado en la fuente,No especificado en la fuente,Incompleto según fuente,Media / Alta,No especificado en la fuente,No especificado en la fuente,No especificado en la fuente,No especificado en la fuente,Requiere control de carga,Dolor o fatiga excesiva,Alto,"resistencia, dedos, antebrazo, submax",Lopez-Rivera,HANGBOARD/FINGERBOARD,https://docs.google.com/document/d/1c806-BohO6x0WL3IqQYWT\_K6Kh3vGlfvBetaqPiX4B0/edit?usp=drivesdk,Incompleto,Solo educativo,Requiere validacion profesional,No publicar como protocolo hasta recuperar dosis completa
HB-006,Dead hang test en 25 mm,Test / filtro,Hangboard / Fingerboard,Criterio de entrada,Evaluar si el escalador tiene fuerza mínima para iniciar dead hangs,Intermedio,General,Hangboard / Fingerboard,"Colgarse de una regleta de 25 mm; si puede sostener 15 s, la fuente sugiere que podría iniciar dead hangs. Si hace menos, escalar puede ser suficiente estímulo.",1,1,15 s criterio,No especificado en la fuente,No especificado en la fuente,Alta,Test puntual,No especificado en la fuente,Usar escalada como estímulo principal,Usarlo como permiso absoluto,No usar como permiso absoluto; requiere validación profesional,Dolor o imposibilidad técnica,Alto,"evaluacion, criterio entrada, dedos",Lopez-Rivera,HANGBOARD/FINGERBOARD,https://docs.google.com/document/d/1c806-BohO6x0WL3IqQYWT\_K6Kh3vGlfvBetaqPiX4B0/edit?usp=drivesdk,Pendiente deduplicación,Sí con advertencia,Requiere validacion profesional,Duplicado probable de FD-006 y P-FD-001
HB-007,Dead hang en 11 mm hasta fallo,Test,Hangboard / Fingerboard,Test de resistencia,Evaluar resistencia de agarre,Avanzado,Deportiva,Hangboard,"Colgarse de una regleta de 11 mm sin peso hasta fallo; fallo definido como perder contacto, flexionar brazos/cadera o extender hombros.",1,1,Hasta fallo,No especificado en la fuente,No especificado en la fuente,Máxima,Test puntual,No especificado en la fuente,Usar regleta mayor,Testear en principiantes o con dolor,Test máximo; solo avanzado,"Dolor, pérdida de contacto, compensaciones",Alto,"test, resistencia, dedos",Lopez-Rivera 2019,HANGBOARD/FINGERBOARD,https://docs.google.com/document/d/1c806-BohO6x0WL3IqQYWT\_K6Kh3vGlfvBetaqPiX4B0/edit?usp=drivesdk,Pendiente limpieza,Sí con bloqueo por perfil,Requiere validacion profesional,Test máximo de alto riesgo
HB-008,Strength test: 5 s con peso añadido en 15 mm,Test,Hangboard / Fingerboard,Test fuerza máxima,Medir carga máxima añadida tolerada 5 s,Avanzado,Deportiva,"Hangboard, lastre",Realizar intentos de 5 s en regleta de 15 mm; aumentar 5-10 kg tras 5 min según desempeño; objetivo máximo en 5 intentos.,Hasta 5 intentos,1 hang por intento,5 s,No especificado en la fuente,5 min entre intentos,Máxima,Test puntual,No especificado en la fuente,Menos peso o regleta mayor,Testear en principiantes o con dolor,Test máximo; no apto para principiantes,"Dolor, flexión, pérdida de contacto",Alto,"test fuerza máxima, lastre, dedos",Lopez-Rivera 2019,HANGBOARD/FINGERBOARD,https://docs.google.com/document/d/1c806-BohO6x0WL3IqQYWT\_K6Kh3vGlfvBetaqPiX4B0/edit?usp=drivesdk,Pendiente limpieza,Sí con bloqueo por perfil,Requiere validacion profesional,Test máximo de alto riesgo
HB-009,Dead hang crimp 19 mm,Test,Hangboard / Fingerboard,Test / fuerza especifica,Evaluar tiempo en crimp,Avanzado,Boulder / Competicion,Fingerboard,Suspensión con brazos rectos en agarre crimp de 19 mm hasta fatiga voluntaria.,3 intentos,1,5-7 s objetivo en pretest con peso añadido,No especificado en la fuente,5 min,Máxima,Test puntual,No especificado en la fuente,Menos peso / regleta mayor,No especificado en la fuente,Alta carga en dedos,Incapacidad de seguir colgado,Alto,"crimp, test, boulder",Medernach et al. 2015,HANGBOARD/FINGERBOARD,https://docs.google.com/document/d/1c806-BohO6x0WL3IqQYWT\_K6Kh3vGlfvBetaqPiX4B0/edit?usp=drivesdk,Pendiente limpieza,Sí con bloqueo por perfil,Requiere validacion profesional,Evitar si no está indicado el agarre; revisar diferencias de riesgo por agarre
HB-010,Dead hang sloper,Test,Hangboard / Fingerboard,Test / fuerza especifica,Evaluar agarre en romo,Avanzado,Boulder / Competicion,Fingerboard,Suspensión con brazos rectos en sloper hasta fatiga voluntaria.,3 intentos,1,5-7 s objetivo en pretest con peso añadido,No especificado en la fuente,5 min,Máxima,Test puntual,No especificado en la fuente,Menos peso / agarre más fácil,No especificado en la fuente,Riesgo por alta intensidad y fatiga,Incapacidad de seguir colgado,Alto,"sloper, test, boulder",Medernach et al. 2015,HANGBOARD/FINGERBOARD,https://docs.google.com/document/d/1c806-BohO6x0WL3IqQYWT\_K6Kh3vGlfvBetaqPiX4B0/edit?usp=drivesdk,Pendiente limpieza,Sí con bloqueo por perfil,Requiere validacion profesional,Controlar piel y hombros
HB-011,Dead hang pinch,Test,Hangboard / Fingerboard,Test / fuerza especifica,Evaluar agarre de pinza,Avanzado,Boulder / Competicion,Fingerboard,Suspensión con brazos rectos en pinch hasta fatiga voluntaria.,3 intentos,1,5-7 s objetivo en pretest con peso añadido,No especificado en la fuente,5 min,Máxima,Test puntual,No especificado en la fuente,Menos peso / agarre más fácil,No especificado en la fuente,Riesgo por alta intensidad,Incapacidad de seguir colgado,Alto,"pinch, test, boulder",Medernach et al. 2015,HANGBOARD/FINGERBOARD,https://docs.google.com/document/d/1c806-BohO6x0WL3IqQYWT\_K6Kh3vGlfvBetaqPiX4B0/edit?usp=drivesdk,Pendiente limpieza,Sí con bloqueo por perfil,Requiere validacion profesional,Fiabilidad menor que otros tests de hangboard; usar con cautela
HB-P001,MaxHangs 8 semanas,Protocolo,Hangboard / Fingerboard,Bloque de fuerza máxima,Fuerza máxima y transferencia a resistencia,Avanzado,General / deportiva / boulder avanzado,"Hangboard, regleta 18 mm, peso añadido o regletas variables",Bloque de 8 semanas con 2 sesiones por semana. Incluye fase con peso añadido en 18 mm y fase con profundidad mínima.,3–5 series,1 hang por serie,10 s,10 s por serie,3 min entre series,Alta / máxima,2 sesiones/semana,"Semana 1 y 5: 3 series; semana 2 y 6: 4 series; semanas 3,4,7,8: 5 series. Añadir peso o reducir profundidad manteniendo margen de 3 s antes del fallo.","Reducir carga, aumentar profundidad de regleta o usar asistencia",Usar en principiantes; entrenar al fallo; continuar con dolor,Alto riesgo por carga máxima en dedos. No desbloquear para principiantes. Requiere validación profesional,"Dolor, fallo técnico, pérdida de contacto, fatiga que altera la técnica",Alto,"MaxHangs, 8 semanas, fuerza máxima, hangboard",López-Rivera & González-Badillo 2019,HANGBOARD/FINGERBOARD,https://docs.google.com/document/d/1c806-BohO6x0WL3IqQYWT\_K6Kh3vGlfvBetaqPiX4B0/edit?usp=drivesdk,Pendiente deduplicación,Sí con bloqueo por perfil,Requiere validación profesional,Protocolo completo importado; duplicado conceptual de MaxHangs FD/HB
