vocabulary,raw_value,count
equipment,"Acostado, elevar pierna con banda manteniendo pelvis estable.",1
equipment,"Sentado o de pie, flexionar cadera manteniendo respiración y sin redondear agresivamente.",1
equipment,"Sentado con piernas abiertas, inclinar desde cadera dentro de rango cómodo.",1
equipment,"Rodillas separadas, cadera atrás, mantener tensión cómoda sin dolor.",1
equipment,"En supino, cruzar tobillo sobre rodilla y acercar pierna.",1
equipment,Similar a pantorrilla pero con rodilla trasera flexionada.,1
equipment,"Inclinar cabeza suavemente, hombro opuesto relajado. Sin tirar fuerte.",1
equipment,"Desde cuadrupedia, pasar brazo bajo el cuerpo y apoyar hombro/cabeza suavemente.",1
equipment,"Brazo cruzado al frente, acercar suavemente con brazo contrario sin elevar hombro.",1
equipment,"Codo arriba, mano hacia espalda, asistir suavemente sin arquear lumbar.",1
equipment,Flexión segmentada lenta desde cuello a lumbar con carga mínima o sin carga.,1
equipment,"En posición de estiramiento cómodo, intentar elevar pierna activamente pocos centímetros.",1
equipment,"Zancada larga, pelvis estable, mantener tensión anterior de cadera con glúteo activo.",1
equipment,"En cuadrupedia con pierna lateral extendida, llevar cadera atrás y sostener.",1
equipment,Zancada baja con brazo del lado posterior arriba e inclinación lateral suave.,1
equipment,Rotar antebrazo suavemente hacia pronación/supinación con asistencia mínima.,1
equipment,Escalar lateralmente en terreno fácil manteniendo respiración controlada y sin llegar a fallo.,1
equipment,"Subir vías fáciles de forma continua, priorizando fluidez y bajo agarre.",1
equipment,"Hacer vueltas en autobelay a intensidad baja, bajando con control y descansando según necesidad.",1
equipment,"Repetir bloques muy fáciles sin caer ni llegar a fallo, descansando poco.",1
equipment,"Crear circuito de movimientos fáciles en presas grandes, ritmo constante.",1
equipment,Subir y bajar por terreno fácil para aumentar tiempo bajo tensión y técnica.,1
equipment,Escalar fácil poniendo foco en pies precisos y silenciosos.,1
equipment,Escalar fácil buscando usar la mínima fuerza de agarre necesaria.,1
equipment,"Escalar circuito continuo por debajo del límite, sin caídas ni bloqueo excesivo.",1
equipment,Escalar por un bloque de tiempo definido manteniendo intensidad baja.,1
equipment,Usar respiración cómoda como regulador de intensidad en terreno fácil.,1
equipment,Escalar terreno menos desplomado para sostener volumen con menor carga de dedos.,1
equipment,Continuidad en desplome leve manteniendo intensidad submáxima y sin llegar a fallo.,1
equipment,Repetir vías conocidas para reducir carga cognitiva y mejorar eficiencia.,1
equipment,"Entre bloques duros, usar escalada muy fácil como recuperación activa solo si no aumenta fatiga.",1
equipment,"Alternar tramos muy fáciles y fáciles, evitando pump alto.",1
equipment,"Alternar bloques de escalada fácil con compañero, manteniendo descanso suficiente.",1
equipment,"Tras proyecto, escalada muy fácil para soltar sin añadir fatiga.",1
equipment,"Escalar fácil con microreposos programados, sin llegar a fallo.",1
equipment,Escalar fácil anticipando los siguientes movimientos sin detenerse demasiado.,1
status,Estabilidad dinámica,1
status,Estabilidad fina,1
status,Fuerza overhead general,1
status,Fuerza unilateral,1
status,Extensión hombro,1
status,Espalda alta,1
status,Movilidad anterior,1
status,Movilidad torácica,1
status,Movilidad activa,1
status,Empuje vertical/antagonista,1
status,Empuje posterior,1
status,Empuje básico,1
status,Empuje horizontal,1
status,Empuje avanzado,1
status,Soporte overhead,1
status,Estabilidad hombro,1
status,Estabilidad empuje,1
risk_level,"Dolor agudo, hormigueo, pérdida de fuerza",0
risk_level,Dolor punzante,0
risk_level,"Dolor, chasquido doloroso",0
risk_level,Dolor de hombro/cuello,0
risk_level,Dolor lumbar o mareo,0
risk_level,Dolor irradiado,0
risk_level,Dolor lumbar,0
risk_level,Dolor de cadera/rodilla,0
risk_level,Dolor de rodilla/cadera,0
risk_level,Dolor rodilla/cadera/lumbar,0
risk_level,Dolor anterior de tobillo,0
risk_level,Dolor lumbar/cadera,0
risk_level,Pinzamiento o dolor,0
risk_level,Dolor hombro/muñeca,0
risk_level,Dolor cervical/lumbar,0
risk_level,Dolor cadera/rodilla,0
risk_level,Dolor muñeca/hombro/lumbar,0
risk_level,Dolor muñeca/hombro,0
risk_level,Dolor anterior hombro,0
risk_level,Dolor lumbar/rodilla,0
risk_level,"Dolor nervioso, hormigueo",0
risk_level,Dolor agudo pie,0
risk_level,"Mareo, hormigueo, dolor irradiado",0
risk_level,"Pinzamiento, dolor anterior",0
risk_level,Dolor ciático,0
risk_level,Dolor rodilla/aductor,0
risk_level,Dolor lumbar/hombro,0
risk_level,"Hormigueo, dolor punzante",0
risk_level,Pinzamiento hombro,0
risk_level,Dolor hombro/lumbar,0
risk_level,Dolor rodilla/lumbar,0
risk_level,Dolor ciático/hormigueo,0
risk_level,Dolor lumbar/ciático,0
risk_level,Dolor aductor/rodilla,0
risk_level,Dolor ingle/rodilla,0
risk_level,Dolor Aquiles,0
risk_level,Dolor tendón,0
risk_level,Mareo/hormigueo,0
risk_level,Dolor cuello/hombro,0
risk_level,Calambre/dolor neural,0
risk_level,Dolor codo/muñeca,0
risk_level,"Pump alto, técnica rota, dolor dedos/codo/hombro",0
risk_level,Pump alto o miedo excesivo,0
risk_level,"Fatiga técnica, dolor",0
risk_level,"Caídas frecuentes, técnica rota",0
risk_level,"Pump alto, dolor dedos",0
risk_level,"Miedo, fatiga excesiva",0
risk_level,Técnica se degrada,0
risk_level,Pump alto o dolor dedos,0
risk_level,"Pump alto, fallos repetidos",0
risk_level,RPE alto o pump alto,0
risk_level,"Ahogo, mareo",0
risk_level,Dolor pies/rodilla/dedos,0
risk_level,"Pump alto, fallo",0
risk_level,Fatiga técnica,0
risk_level,Fatiga acumulada,0
risk_level,Pump alto,0
risk_level,Fatiga excesiva,0
risk_level,Pump residual alto,0
risk_level,Fallos o pump alto,0
risk_level,Tensión mental alta,0
structure,Inicio específico o test ligero,1
structure,Rehabilitación general no diagnóstica,1
structure,Rehabilitación supervisada,1
structure,Después de sesiones intensas,1
action,No tests máximos; bajar carga y recomendar validación.,1
action,Usar progresión asistida y aprendizaje técnico.,1
action,Limitar volumen de fuerza; priorizar técnica en muro.,1
action,Plan conservador; no máximos.,1
