exercise_id,exercise_name,exercise_category,risk_level,gates_blocked_by,gates_controlled_by,gates_governed_by,gates_canonical_count,gates_related_to,gates_weak_count
EX-CAMP-021,Pull-up con palmada,Campus y potencia específica,Alto,,,,0,,0
EX-CAMP-022,Muscle-up técnico asistido,Campus y potencia específica,Alto,,,,0,,0
EX-CAMP-023,Medicine ball slam,Campus y potencia específica,Medio,,,,0,,0
EX-CAMP-024,Lanzamiento de balón al muro,Campus y potencia específica,Medio,,,,0,,0
EX-CAMP-025,Pogo footwork en muro,Campus y potencia específica,Bajo,,,,0,,0
EX-CAMP-026,Step-through dinámico controlado,Campus y potencia específica,Bajo,,,,0,,0
EX-CAMP-027,Campus en regleta grande con banda,Campus y potencia específica,Medio,,,,0,,0
EX-CAMP-028,Campus lock-off catch,Campus y potencia específica,Alto,,,,0,,0
EX-CAMP-029,Limit move desde posición estática,Campus y potencia específica,Medio,,,,0,,0
EX-CAMP-030,RFD pull en presa grande,Campus y potencia específica,Medio,,,,0,,0
EX-CORE-001,Plancha frontal,Core,Bajo,,,,0,,0
EX-CORE-002,Plancha lateral,Core,Bajo,,,,0,,0
EX-CORE-003,Plancha con alcance de brazo,Core,Medio,,,,0,,0
EX-CORE-004,Dead bug,Core,Bajo,,,,0,,0
EX-CORE-005,Hollow body hold,Core,Medio,,,,0,,0
EX-CORE-006,Hollow rocks,Core,Medio,,,,0,,0
EX-CORE-007,Arch hold / superman,Core,Bajo,,,,0,,0
EX-CORE-008,Bird dog,Core,Bajo,,,,0,,0
EX-CORE-009,Mountain climber lento,Core,Medio,,,,0,,0
EX-CORE-010,Bear crawl,Core,Medio,,,,0,,0
EX-CORE-011,Pallof press con banda,Core,Bajo,,,,0,,0
EX-CORE-012,Pallof press walkout,Core,Medio,,,,0,,0
EX-CORE-013,Farmer carry unilateral,Core,Medio,,,,0,,0
EX-CORE-014,Suitcase carry,Core,Medio,,,,0,,0
EX-CORE-015,L-sit tuck,Core,Medio,,,,0,,0
EX-CORE-016,L-sit,Core,Alto,,,,0,,0
EX-CORE-017,Hanging knee raise,Core,Medio,,,,0,,0
EX-CORE-018,Hanging leg raise,Core,Alto,,,,0,,0
EX-CORE-019,Toes to bar controlado,Core,Alto,,,,0,,0
EX-CORE-020,Windshield wiper regresado,Core,Alto,,,,0,,0
EX-CORE-021,Front lever tuck,Core,Alto,,,,0,,0
EX-CORE-022,Front lever one-leg,Core,Alto,,,,0,,0
EX-CORE-023,Front lever negativo,Core,Alto,,,,0,,0
EX-CORE-024,Body saw,Core,Medio,,,,0,,0
EX-CORE-025,Rollout con rueda,Core,Alto,,,,0,,0
EX-CORE-026,Rollout con fitball,Core,Medio,,,,0,,0
EX-CORE-027,Compression lift sentado,Core,Medio,,,,0,,0
EX-CORE-028,Dragon flag regresado,Core,Alto,,,,0,,0
EX-CORE-029,Reverse plank,Core,Medio,,,,0,,0
EX-CORE-030,Copenhagen plank regresado,Core,Medio,,,,0,,0
EX-CORE-031,Escalada silenciosa enfocada en core,Core,Bajo,,,,0,,0
EX-CORE-032,Toe hook tension drill,Core,Medio,,,,0,,0
EX-FIN-001,Suspensión asistida en regleta grande,Fuerza de dedos / Hangboard,Medio,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-002,Suspensión bilateral en mano abierta,Fuerza de dedos / Hangboard,Medio,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-003,Suspensión bilateral en medio arqueo,Fuerza de dedos / Hangboard,Medio-alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-004,Suspensión de calentamiento en regleta media,Fuerza de dedos / Hangboard,Medio,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-005,Suspensión con pies en el suelo,Fuerza de dedos / Hangboard,Medio,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-006,Suspensión máxima con peso añadido,Fuerza de dedos / Hangboard,Alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-007,Suspensión máxima en borde mínimo,Fuerza de dedos / Hangboard,Alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-008,Suspensión submáxima larga,Fuerza de dedos / Hangboard,Alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-009,Repeaters con peso añadido,Fuerza de dedos / Hangboard,Alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-010,Repeaters en borde mínimo,Fuerza de dedos / Hangboard,Alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-011,Suspensión de medio arqueo en 18 mm,Fuerza de dedos / Hangboard,Alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-012,Suspensión en 15 mm,Fuerza de dedos / Hangboard,Alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-013,Suspensión en 11 mm hasta criterio,Fuerza de dedos / Hangboard,Alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-014,Dead hang de boulder competitivo,Fuerza de dedos / Hangboard,Alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-015,Intermittent finger hangs competitivos,Fuerza de dedos / Hangboard,Alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-016,Suspensión unilateral asistida,Fuerza de dedos / Hangboard,Alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-017,Suspensión unilateral con carga corporal,Fuerza de dedos / Hangboard,Alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-018,Suspensión offset / una mano más asistida,Fuerza de dedos / Hangboard,Alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-019,Suspensión front three,Fuerza de dedos / Hangboard,Alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-020,Suspensión back three,Fuerza de dedos / Hangboard,Alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-021,Suspensión de dos dedos índice-medio,Fuerza de dedos / Hangboard,Alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-022,Suspensión de dos dedos medio-anular,Fuerza de dedos / Hangboard,Alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-023,Suspensión de dos dedos anular-meñique,Fuerza de dedos / Hangboard,Alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-024,Suspensión mono asistida,Fuerza de dedos / Hangboard,Alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-025,Tirón isométrico en regleta con polea,Fuerza de dedos / Hangboard,Alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-026,Suspensión en barra hasta fatiga,Fuerza de dedos / Hangboard,Medio,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-027,Full crimp sin carga,Fuerza de dedos / Hangboard,Alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-028,Full crimp con pies apoyados,Fuerza de dedos / Hangboard,Alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-029,Suspensión bilateral full crimp asistida,Fuerza de dedos / Hangboard,Alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-030,Suspensión máxima full crimp,Fuerza de dedos / Hangboard,Alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-031,Suspensión en pinza,Fuerza de dedos / Hangboard,Medio-alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-032,Levantamiento con pinch block,Fuerza de dedos / Hangboard,Medio-alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-033,Pinza ancha,Fuerza de dedos / Hangboard,Medio-alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-034,Suspensión en sloper,Fuerza de dedos / Hangboard,Medio-alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-035,Sloper con asistencia,Fuerza de dedos / Hangboard,Medio,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-036,Suspensión en pocket de tres dedos,Fuerza de dedos / Hangboard,Alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-037,Pocket con asistencia,Fuerza de dedos / Hangboard,Alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-038,Tirón parcial de bolsillo,Fuerza de dedos / Hangboard,Medio-alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-039,Front three en medio arqueo,Fuerza de dedos / Hangboard,Alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-040,Mono bloqueado en app,Fuerza de dedos / Hangboard,Alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-041,Boulder límite en agarres específicos,Fuerza de dedos / Hangboard,Medio-alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-042,Boulder con hipergavedad,Fuerza de dedos / Hangboard,Alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-043,System wall de agarre,Fuerza de dedos / Hangboard,Medio-alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-044,Boulder en mano abierta,Fuerza de dedos / Hangboard,Medio,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-045,Boulder de regletas en half crimp,Fuerza de dedos / Hangboard,Alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-046,Finger rolls pesados,Fuerza de dedos / Hangboard,Medio-alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-047,Extensión de dedos con banda,Fuerza de dedos / Hangboard,Bajo-medio,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-048,Flexión-extensión de dedos con peso,Fuerza de dedos / Hangboard,Medio,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-049,Carga isométrica de muñeca para pinza,Fuerza de dedos / Hangboard,Medio-alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-050,Hangboard técnico de hombros activos,Fuerza de dedos / Hangboard,Medio,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-051,Hangboard sin balanceo,Fuerza de dedos / Hangboard,Medio,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-052,Hangboard con respiración y core,Fuerza de dedos / Hangboard,Medio,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-053,Ajuste de carga por buffer,Fuerza de dedos / Hangboard,Regla,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-054,Borde mayor como regresión automática,Fuerza de dedos / Hangboard,Regla,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-055,Asistencia con banda o polea,Fuerza de dedos / Hangboard,Regla,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-056,Bloque sin hangboard: escalar como estímulo,Fuerza de dedos / Hangboard,Bajo-medio,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-057,Deload de dedos,Fuerza de dedos / Hangboard,Regla,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-058,Test de MIFS con % masa corporal,Fuerza de dedos / Hangboard,Alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-059,Test de fuerza en 15 mm,Fuerza de dedos / Hangboard,Alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-060,Test de endurance en 11 mm,Fuerza de dedos / Hangboard,Alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-061,Medición pre/post handgrip,Fuerza de dedos / Hangboard,Bajo-medio,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FIN-062,Contracciones intermitentes máximas E1/E2,Fuerza de dedos / Hangboard,Alto,GT-FIN-001; GT-FIN-002; GT-FIN-017,,,3,,0
EX-FLX-001,Estiramiento de flexores de antebrazo,Antebrazo/muñeca,"Hormigueo, dolor punzante",,,,0,GT-FLX-001,1
EX-FLX-002,Estiramiento de extensores de antebrazo,Antebrazo/muñeca,"Hormigueo, dolor punzante",,,,0,GT-FLX-002,1
EX-FLX-003,Estiramiento de pectoral en puerta,Pecho/hombro,Dolor anterior hombro,,,,0,GT-FLX-003,1
EX-FLX-004,Estiramiento de dorsal en pared,Dorsal/hombro,Pinzamiento hombro,,,,0,GT-FLX-004,1
EX-FLX-005,Child pose con alcance lateral,Dorsal/torácica,Dolor hombro/lumbar,,,,0,GT-FLX-005,1
EX-FLX-006,Estiramiento de flexor de cadera medio arrodillado,Cadera,Dolor lumbar/rodilla,,,,0,GT-FLX-006,1
EX-FLX-007,Couch stretch,Cuádriceps/flexor cadera,Dolor rodilla/lumbar,,,,0,GT-FLX-007,1
EX-FLX-008,Estiramiento de isquios en supino con banda,Isquios,Dolor ciático/hormigueo,,,,0,GT-FLX-008,1
EX-FLX-009,Pike stretch suave,Isquios/espalda,Dolor lumbar/ciático,,,,0,GT-FLX-009,1
EX-FLX-010,Pancake stretch asistido,Aductores/isquios,Dolor aductor/rodilla,,,,0,GT-FLX-010,1
EX-FLX-011,Frog stretch,Aductores,Dolor ingle/rodilla,,,,0,GT-FLX-011,1
EX-FLX-012,Figura 4 / piriforme,Glúteo/rotadores cadera,Dolor ciático,,,,0,GT-FLX-012,1
EX-FLX-013,Estiramiento de pantorrilla en pared,Tobillo/gemelo,Dolor Aquiles,,,,0,GT-FLX-001,1
EX-FLX-014,Soleus stretch,Tobillo/sóleo,Dolor tendón,,,,0,GT-FLX-002,1
EX-FLX-015,Estiramiento de cuello lateral,Cervical/trapecio,Mareo/hormigueo,,,,0,GT-FLX-003,1
EX-FLX-016,Thread the needle pasivo,Torácica/hombro posterior,Dolor cuello/hombro,,,,0,GT-FLX-004,1
EX-FLX-017,Estiramiento posterior de hombro,Hombro posterior,Dolor anterior hombro,,,,0,GT-FLX-005,1
EX-FLX-018,Tríceps overhead stretch,Tríceps/dorsal,Pinzamiento hombro,,,,0,GT-FLX-006,1
EX-FLX-019,Jefferson curl descargado,Cadena posterior,Dolor lumbar/ciático,,,,0,GT-FLX-007,1
EX-FLX-020,Active hamstring end-range lift,Isquios,Calambre/dolor neural,,,,0,GT-FLX-008,1
EX-FLX-021,Split squat hip flexor hold,Cadera,Dolor rodilla/lumbar,,,,0,GT-FLX-009,1
EX-FLX-022,Aductor rockback hold,Aductores,Dolor ingle/rodilla,,,,0,GT-FLX-010,1
EX-FLX-023,Low lunge side bend,Cadera/dorsal,Dolor lumbar/hombro,,,,0,GT-FLX-011,1
EX-FLX-024,Forearm pronation/supination stretch,Antebrazo,Dolor codo/muñeca,,,,0,GT-FLX-012,1
EX-FOR-001,Extensión de muñeca con mancuerna,"Antebrazo, muñeca y codo",Medio,GT-FOR-011,,,1,,0
EX-FOR-002,Flexión de muñeca con mancuerna,"Antebrazo, muñeca y codo",Medio,GT-FOR-010,,,1,,0
EX-FOR-003,Extensión excéntrica de muñeca,"Antebrazo, muñeca y codo",Medio,GT-FOR-011,,,1,,0
EX-FOR-004,Flexión excéntrica de muñeca,"Antebrazo, muñeca y codo",Medio,GT-FOR-010,,,1,,0
EX-FOR-005,Pronación con martillo,"Antebrazo, muñeca y codo",Bajo,,,,0,,0
EX-FOR-006,Supinación con martillo,"Antebrazo, muñeca y codo",Bajo,,,,0,,0
EX-FOR-007,Desviación radial con mancuerna,"Antebrazo, muñeca y codo",Bajo,,,,0,,0
EX-FOR-008,Desviación cubital con mancuerna,"Antebrazo, muñeca y codo",Bajo,,,,0,,0
EX-FOR-009,Aperturas de dedos con liga,"Antebrazo, muñeca y codo",Bajo,GT-FOR-003,,,1,,0
EX-FOR-010,Extensión individual de dedos con liga,"Antebrazo, muñeca y codo",Bajo,,,,0,,0
EX-FOR-011,Rice bucket — abrir y cerrar mano,"Antebrazo, muñeca y codo",Bajo,,,,0,,0
EX-FOR-012,Rice bucket — pronación/supinación,"Antebrazo, muñeca y codo",Bajo,,,,0,,0
EX-FOR-013,Wrist roller,"Antebrazo, muñeca y codo",Medio,GT-FOR-006,,,1,,0
EX-FOR-014,Isométrico de extensión de muñeca,"Antebrazo, muñeca y codo",Bajo,,,,0,,0
EX-FOR-015,Isométrico de flexión de muñeca,"Antebrazo, muñeca y codo",Bajo,,,,0,,0
EX-FOR-016,Isométrico de pronación,"Antebrazo, muñeca y codo",Bajo,,,,0,,0
EX-FOR-017,Isométrico de supinación,"Antebrazo, muñeca y codo",Bajo,,,,0,,0
EX-FOR-018,Curl martillo,"Antebrazo, muñeca y codo",Medio,GT-FOR-024,,,1,,0
EX-FOR-019,Curl inverso,"Antebrazo, muñeca y codo",Medio,,,,0,,0
EX-FOR-020,Curl supinado controlado,"Antebrazo, muñeca y codo",Bajo,,,,0,,0
EX-FOR-021,Extensión de tríceps con banda,"Antebrazo, muñeca y codo",Bajo,,,,0,,0
EX-FOR-022,Wrist rocks en cuadrupedia,"Antebrazo, muñeca y codo",Bajo,,,,0,,0
EX-FOR-023,Wrist rocks con dedos hacia rodillas,"Antebrazo, muñeca y codo",Bajo,,,,0,,0
EX-FOR-024,Puño a palma en cuadrupedia,"Antebrazo, muñeca y codo",Bajo,,,,0,,0
EX-FOR-025,Farmer carry ligero,"Antebrazo, muñeca y codo",Medio,,,,0,,0
EX-FOR-026,Pinch block hold submáximo,"Antebrazo, muñeca y codo",Medio,GT-FOR-012,,,1,,0
EX-FOR-027,Squeeze con pelota blanda,"Antebrazo, muñeca y codo",Bajo,,,,0,,0
EX-FOR-028,Towel wring,"Antebrazo, muñeca y codo",Bajo,,,,0,,0
EX-FOR-029,Tendon glides de dedos,"Antebrazo, muñeca y codo",Medio,,,,0,,0
EX-FOR-030,Nerve glide básico de antebrazo,"Antebrazo, muñeca y codo",Alto,GT-FOR-004,,,1,,0
EX-FOR-031,Finger flicks,"Antebrazo, muñeca y codo",Bajo,,,,0,,0
EX-FOR-032,Forearm pronation/supination con banda,"Antebrazo, muñeca y codo",Bajo,,,,0,,0
EX-FOR-033,Wrist extension con banda,"Antebrazo, muñeca y codo",Bajo,,,,0,,0
EX-FOR-034,Wrist flexion con banda,"Antebrazo, muñeca y codo",Bajo,,,,0,,0
EX-FOR-035,Bar hang de tolerancia en barra grande,"Antebrazo, muñeca y codo",Medio,GT-FOR-007,,,1,,0
EX-FOR-036,Deadlift hold ligero,"Antebrazo, muñeca y codo",Medio,,,,0,,0
EX-FOR-037,Rotación controlada de muñeca con palo,"Antebrazo, muñeca y codo",Bajo,,,,0,,0
EX-FOR-038,Extensión de dedos sobre mesa,"Antebrazo, muñeca y codo",Bajo,,,,0,,0
EX-MEN-001,Respiración diafragmática,Trabajo mental,medio,,,,0,GT-MEN-001,1
EX-MEN-002,Box breathing,Trabajo mental,medio,,,,0,GT-MEN-002,1
EX-MEN-003,Respiración 4-6,Trabajo mental,medio,,,,0,GT-MEN-003,1
EX-MEN-004,Respiración de reset entre intentos,Trabajo mental,medio,,,,0,GT-MEN-004,1
EX-MEN-005,Visualización de beta,Trabajo mental,medio,,,,0,GT-MEN-005,1
EX-MEN-006,Visualización del intento completo,Trabajo mental,medio,,,,0,GT-MEN-006,1
EX-MEN-007,Lectura de ruta desde el suelo,Trabajo mental,medio,,,,0,GT-MEN-007,1
EX-MEN-008,Plan A / Plan B de secuencia,Trabajo mental,medio,,,,0,GT-MEN-008,1
EX-MEN-009,Autodiálogo de proceso,Trabajo mental,medio,,,,0,GT-MEN-009,1
EX-MEN-010,Palabra clave de foco,Trabajo mental,medio,,,,0,GT-MEN-010,1
EX-MEN-011,Rutina pre-escalada,Trabajo mental,medio,,,,0,GT-MEN-011,1
EX-MEN-012,Rutina pre-intento,Trabajo mental,medio,,,,0,GT-MEN-012,1
EX-MEN-013,Chequeo emocional previo,Trabajo mental,medio,,,,0,GT-MEN-013,1
EX-MEN-014,Escaneo corporal breve,Trabajo mental,medio,,,,0,GT-MEN-014,1
EX-MEN-015,Atención externa a presas,Trabajo mental,medio,,,,0,GT-MEN-001,1
EX-MEN-016,Atención a pies,Trabajo mental,medio,,,,0,GT-MEN-002,1
EX-MEN-017,Pausa consciente en reposo,Trabajo mental,medio,,,,0,GT-MEN-003,1
EX-MEN-018,Reset tras caída,Trabajo mental,medio,,,,0,GT-MEN-004,1
EX-MEN-019,Revisión post intento,Trabajo mental,medio,,,,0,GT-MEN-005,1
EX-MEN-020,Diario de escalada,Trabajo mental,medio,,,,0,GT-MEN-006,1
EX-MEN-021,Objetivo de proceso,Trabajo mental,medio,,,,0,GT-MEN-007,1
EX-MEN-022,Microcompromiso del intento,Trabajo mental,medio,,,,0,GT-MEN-008,1
EX-MEN-023,Estrategia onsight,Trabajo mental,medio,,,,0,GT-MEN-009,1
EX-MEN-024,Estrategia redpoint,Trabajo mental,medio,,,,0,GT-MEN-010,1
EX-MEN-025,Gestión de frustración,Trabajo mental,medio,,,,0,GT-MEN-011,1
EX-MEN-026,Tolerancia progresiva al pump,Trabajo mental,medio,,,,0,GT-MEN-012,1
EX-MEN-027,Exposición gradual a altura,Trabajo mental,medio,,,,0,GT-MEN-013,1
EX-MEN-028,Práctica de caída en top rope,Trabajo mental,medio,,,,0,GT-MEN-014,1
EX-MEN-029,Práctica de caída de primero,Trabajo mental,medio,,,,0,GT-MEN-001,1
EX-MEN-030,Comunicación con asegurador,Trabajo mental,medio,,,,0,GT-MEN-002,1
EX-MEN-031,Recuperación mental entre intentos,Trabajo mental,medio,,,,0,GT-MEN-003,1
EX-MEN-032,Cierre de sesión con aprendizaje,Trabajo mental,medio,,,,0,GT-MEN-004,1
EX-MOB-001,Movilidad de muñeca en cuadrupedia,Muñeca / dedos,"Dolor agudo, hormigueo, pérdida de fuerza",,,,0,GT-MOB-001,1
EX-MOB-002,CARs de muñeca,Muñeca,Dolor punzante,,,,0,GT-MOB-002,1
EX-MOB-003,CARs de hombro,Hombro,"Dolor, chasquido doloroso",,,,0,GT-MOB-003,1
EX-MOB-004,CARs escapulares en pared,Escápula,Dolor de hombro/cuello,,,,0,GT-MOB-004,1
EX-MOB-005,Rotación torácica en cuadrupedia,Columna torácica,Dolor lumbar o mareo,,,,0,GT-MOB-005,1
EX-MOB-006,Open book torácico,Columna torácica,Dolor irradiado,,,,0,GT-MOB-006,1
EX-MOB-007,Cat-cow segmentado,Columna,Dolor lumbar,,,,0,GT-MOB-007,1
EX-MOB-008,90/90 hip switches,Cadera,Dolor de cadera/rodilla,,,,0,GT-MOB-008,1
EX-MOB-009,Cossack squat asistida,Cadera/aductores,Dolor de rodilla/cadera,,,,0,GT-MOB-009,1
EX-MOB-010,Deep squat hold asistido,Cadera/tobillo,Dolor rodilla/cadera/lumbar,,,,0,GT-MOB-010,1
EX-MOB-011,Ankle rocks en pared,Tobillo,Dolor anterior de tobillo,,,,0,GT-MOB-011,1
EX-MOB-012,Lunge dinámico con alcance,Cadera/torácica,Dolor lumbar/cadera,,,,0,GT-MOB-012,1
